title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I Get the Bag (feat. Migos),0.89,0.633,11,-5.475,1,0.168,0.0232,0.000343,0.0993,0.425,139.948,audio_features,1XRgIKC5TPwo7nWGyKqgG0,spotify:track:1XRgIKC5TPwo7nWGyKqgG0,https://api.spotify.com/v1/tracks/1XRgIKC5TPwo7nWGyKqgG0,https://api.spotify.com/v1/audio-analysis/1XRgIKC5TPwo7nWGyKqgG0,233087,4
Do the Most,0.67,0.634,8,-6.682,1,0.294,0.0337,0,0.0714,0.375,204.113,audio_features,7n0lXKEOaFxrAU0R93fIQh,spotify:track:7n0lXKEOaFxrAU0R93fIQh,https://api.spotify.com/v1/tracks/7n0lXKEOaFxrAU0R93fIQh,https://api.spotify.com/v1/audio-analysis/7n0lXKEOaFxrAU0R93fIQh,144098,4
GO ALL THE WAY,0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,audio_features,75GQIYnRaBg7ndHxhfYuQy,spotify:track:75GQIYnRaBg7ndHxhfYuQy,https://api.spotify.com/v1/tracks/75GQIYnRaBg7ndHxhfYuQy,https://api.spotify.com/v1/audio-analysis/75GQIYnRaBg7ndHxhfYuQy,205347,4
Rotate,0.91,0.856,11,-2.082,0,0.157,0.0346,0.000223,0.0624,0.771,109.029,audio_features,6wwT3PgG3eFuKCpxzjMJFs,spotify:track:6wwT3PgG3eFuKCpxzjMJFs,https://api.spotify.com/v1/tracks/6wwT3PgG3eFuKCpxzjMJFs,https://api.spotify.com/v1/audio-analysis/6wwT3PgG3eFuKCpxzjMJFs,201941,4
Remind Me of the Summer,0.75,0.515,5,-8.659,0,0.127,0.0791,0.000118,0.0936,0.331,159.988,audio_features,6vWxGAj9I4iGD9vcP5I7Dh,spotify:track:6vWxGAj9I4iGD9vcP5I7Dh,https://api.spotify.com/v1/tracks/6vWxGAj9I4iGD9vcP5I7Dh,https://api.spotify.com/v1/audio-analysis/6vWxGAj9I4iGD9vcP5I7Dh,219115,4
On Time,0.687,0.61,2,-6.347,1,0.0298,0.078,0,0.112,0.186,141.999,audio_features,28bftWOP2HhRSOmYxIbeWR,spotify:track:28bftWOP2HhRSOmYxIbeWR,https://api.spotify.com/v1/tracks/28bftWOP2HhRSOmYxIbeWR,https://api.spotify.com/v1/audio-analysis/28bftWOP2HhRSOmYxIbeWR,200077,4
Lifestyles of the Sick N' Brainless,0.589,0.614,4,-7.488,1,0.0889,0.708,0,0.112,0.389,158.811,audio_features,7B4RHJvUfkePsw09lAYCGf,spotify:track:7B4RHJvUfkePsw09lAYCGf,https://api.spotify.com/v1/tracks/7B4RHJvUfkePsw09lAYCGf,https://api.spotify.com/v1/audio-analysis/7B4RHJvUfkePsw09lAYCGf,218343,4
Flaws And Sins,0.709,0.662,8,-4.55,1,0.0766,0.00966,0,0.108,0.439,150.046,audio_features,2BSbCCbaSCzkOEZa6N5901,spotify:track:2BSbCCbaSCzkOEZa6N5901,https://api.spotify.com/v1/tracks/2BSbCCbaSCzkOEZa6N5901,https://api.spotify.com/v1/audio-analysis/2BSbCCbaSCzkOEZa6N5901,218349,4
MET GALA,0.873,0.577,1,-9.151,1,0.271,0.353,0,0.111,0.956,117.089,audio_features,4loM16743hROPC6uIJG6wM,spotify:track:4loM16743hROPC6uIJG6wM,https://api.spotify.com/v1/tracks/4loM16743hROPC6uIJG6wM,https://api.spotify.com/v1/audio-analysis/4loM16743hROPC6uIJG6wM,149133,4
Litty (feat. Tory Lanez),0.592,0.701,10,-4.014,0,0.0858,0.0451,0,0.327,0.282,129.501,audio_features,5J5PXmMdQ2nh1lZOal8KmK,spotify:track:5J5PXmMdQ2nh1lZOal8KmK,https://api.spotify.com/v1/tracks/5J5PXmMdQ2nh1lZOal8KmK,https://api.spotify.com/v1/audio-analysis/5J5PXmMdQ2nh1lZOal8KmK,280615,4
Emotionally Scarred,0.585,0.641,6,-4.269,0,0.133,0.0286,0,0.316,0.266,88.284,audio_features,7ge7BHazYbVKi8qyZUX1Bm,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/tracks/7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/audio-analysis/7ge7BHazYbVKi8qyZUX1Bm,197530,4
2 Vaults (feat. Lil Yachty),0.921,0.586,8,-7.77,1,0.406,0.264,0,0.119,0.657,96.042,audio_features,5Zx9VpLotu9aFYqq61NAip,spotify:track:5Zx9VpLotu9aFYqq61NAip,https://api.spotify.com/v1/tracks/5Zx9VpLotu9aFYqq61NAip,https://api.spotify.com/v1/audio-analysis/5Zx9VpLotu9aFYqq61NAip,210000,4
Noticed,0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,audio_features,7zLYKWcXnYeHHWidalz7rj,spotify:track:7zLYKWcXnYeHHWidalz7rj,https://api.spotify.com/v1/tracks/7zLYKWcXnYeHHWidalz7rj,https://api.spotify.com/v1/audio-analysis/7zLYKWcXnYeHHWidalz7rj,165000,4
Campfire (Ball Out),0.606,0.345,4,-12.024,1,0.0272,0.472,3.72e-06,0.125,0.455,75.243,audio_features,0DxCFunw8Y7McQWwcEjRBW,spotify:track:0DxCFunw8Y7McQWwcEjRBW,https://api.spotify.com/v1/tracks/0DxCFunw8Y7McQWwcEjRBW,https://api.spotify.com/v1/audio-analysis/0DxCFunw8Y7McQWwcEjRBW,213867,4
SHINE,0.543,0.423,6,-8.797,1,0.0282,0.295,0.0862,0.152,0.355,150.132,audio_features,77YKoNCjP5hWqiXMRG2839,spotify:track:77YKoNCjP5hWqiXMRG2839,https://api.spotify.com/v1/tracks/77YKoNCjP5hWqiXMRG2839,https://api.spotify.com/v1/audio-analysis/77YKoNCjP5hWqiXMRG2839,306040,4
Purple Moncler,0.75,0.565,1,-9.76,1,0.463,0.111,0,0.123,0.545,162.032,audio_features,18Y0mlclncKgTLmMrpYMoZ,spotify:track:18Y0mlclncKgTLmMrpYMoZ,https://api.spotify.com/v1/tracks/18Y0mlclncKgTLmMrpYMoZ,https://api.spotify.com/v1/audio-analysis/18Y0mlclncKgTLmMrpYMoZ,120183,4
Lick,0.773,0.674,0,-5.233,1,0.312,0.0581,0,0.233,0.704,161.087,audio_features,6kWNMFptUFZE1tlkbRCwav,spotify:track:6kWNMFptUFZE1tlkbRCwav,https://api.spotify.com/v1/tracks/6kWNMFptUFZE1tlkbRCwav,https://api.spotify.com/v1/audio-analysis/6kWNMFptUFZE1tlkbRCwav,193618,4
Armed And Dangerous,0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,audio_features,5wujBwqG7INdStqGd4tRMX,spotify:track:5wujBwqG7INdStqGd4tRMX,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX,169999,4
Desire,0.597,0.767,1,-4.713,0,0.0481,0.106,0,0.107,0.205,148.009,audio_features,15LOSQ3z91ZB2wMiMhiCjZ,spotify:track:15LOSQ3z91ZB2wMiMhiCjZ,https://api.spotify.com/v1/tracks/15LOSQ3z91ZB2wMiMhiCjZ,https://api.spotify.com/v1/audio-analysis/15LOSQ3z91ZB2wMiMhiCjZ,189813,4
Shake The Room (feat. Quavo),0.733,0.684,2,-4.748,1,0.177,0.142,0,0.179,0.437,142.04,audio_features,7rSnKi58HPIVC0FVyh04Q1,spotify:track:7rSnKi58HPIVC0FVyh04Q1,https://api.spotify.com/v1/tracks/7rSnKi58HPIVC0FVyh04Q1,https://api.spotify.com/v1/audio-analysis/7rSnKi58HPIVC0FVyh04Q1,165640,4
Blue Shit,0.702,0.366,1,-8.731,1,0.288,0.0944,0,0.0973,0.109,151.057,audio_features,3g5ijLzWX33Wn4G1HRd18Z,spotify:track:3g5ijLzWX33Wn4G1HRd18Z,https://api.spotify.com/v1/tracks/3g5ijLzWX33Wn4G1HRd18Z,https://api.spotify.com/v1/audio-analysis/3g5ijLzWX33Wn4G1HRd18Z,190933,4
Champions,0.692,0.774,6,-2.48,0,0.0876,0.0623,0,0.873,0.349,134.952,audio_features,2nBI3iWLhupR7LyAJ5GGkE,spotify:track:2nBI3iWLhupR7LyAJ5GGkE,https://api.spotify.com/v1/tracks/2nBI3iWLhupR7LyAJ5GGkE,https://api.spotify.com/v1/audio-analysis/2nBI3iWLhupR7LyAJ5GGkE,334253,4
Somebody,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,audio_features,4wCmqSrbyCgxEXROQE6vtV,spotify:track:4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,https://api.spotify.com/v1/audio-analysis/4wCmqSrbyCgxEXROQE6vtV,244973,4
BUBBLE GUM,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97,audio_features,3zksbXteOCeSusJ5Xltr3t,spotify:track:3zksbXteOCeSusJ5Xltr3t,https://api.spotify.com/v1/tracks/3zksbXteOCeSusJ5Xltr3t,https://api.spotify.com/v1/audio-analysis/3zksbXteOCeSusJ5Xltr3t,175961,3
"Is You Ready - From ""Mile 22""",0.743,0.731,2,-3.417,1,0.379,0.178,0,0.0876,0.243,177.924,audio_features,6FwJj7uwhZ1vrBlDZvMLZk,spotify:track:6FwJj7uwhZ1vrBlDZvMLZk,https://api.spotify.com/v1/tracks/6FwJj7uwhZ1vrBlDZvMLZk,https://api.spotify.com/v1/audio-analysis/6FwJj7uwhZ1vrBlDZvMLZk,184276,4
Too Blessed,0.906,0.351,7,-10.18,1,0.239,0.00591,0,0.109,0.315,143.891,audio_features,79OsVQutiLllWaiDTcKl5M,spotify:track:79OsVQutiLllWaiDTcKl5M,https://api.spotify.com/v1/tracks/79OsVQutiLllWaiDTcKl5M,https://api.spotify.com/v1/audio-analysis/79OsVQutiLllWaiDTcKl5M,200000,4
Bout A Million (feat. 42 Dugg & 21 Savage),0.716,0.67,0,-6.995,0,0.101,0.526,0,0.13,0.411,145.043,audio_features,4LaGu95Ui2s4vprSQYWUAZ,spotify:track:4LaGu95Ui2s4vprSQYWUAZ,https://api.spotify.com/v1/tracks/4LaGu95Ui2s4vprSQYWUAZ,https://api.spotify.com/v1/audio-analysis/4LaGu95Ui2s4vprSQYWUAZ,203586,4
Payroll (feat. Payroll Giovanni),0.587,0.625,1,-7.846,1,0.34,0.0258,8.2e-06,0.111,0.14,129.633,audio_features,1BqFVpfIxPQ4baEGe7hxgr,spotify:track:1BqFVpfIxPQ4baEGe7hxgr,https://api.spotify.com/v1/tracks/1BqFVpfIxPQ4baEGe7hxgr,https://api.spotify.com/v1/audio-analysis/1BqFVpfIxPQ4baEGe7hxgr,218400,5
Element,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,audio_features,57BGVV6wcyhbn3hsjlqEZB,spotify:track:57BGVV6wcyhbn3hsjlqEZB,https://api.spotify.com/v1/tracks/57BGVV6wcyhbn3hsjlqEZB,https://api.spotify.com/v1/audio-analysis/57BGVV6wcyhbn3hsjlqEZB,135747,5
From The D To The A (feat. Lil Yachty),0.851,0.625,10,-5.417,0,0.303,0.195,0,0.266,0.668,99.061,audio_features,2NyrXRn4tancYPW6JwtTl2,spotify:track:2NyrXRn4tancYPW6JwtTl2,https://api.spotify.com/v1/tracks/2NyrXRn4tancYPW6JwtTl2,https://api.spotify.com/v1/audio-analysis/2NyrXRn4tancYPW6JwtTl2,158684,4
Hear Me Calling,0.699,0.687,7,-3.997,0,0.106,0.308,3.63e-05,0.121,0.499,88.932,audio_features,13ZyrkCDmRz5xY3seuAWYk,spotify:track:13ZyrkCDmRz5xY3seuAWYk,https://api.spotify.com/v1/tracks/13ZyrkCDmRz5xY3seuAWYk,https://api.spotify.com/v1/audio-analysis/13ZyrkCDmRz5xY3seuAWYk,189977,4
Ice Tray,0.89,0.504,8,-5.444,0,0.123,0.023,0,0.123,0.222,129.969,audio_features,3wdfLVUhmX64lIyWIIEW8s,spotify:track:3wdfLVUhmX64lIyWIIEW8s,https://api.spotify.com/v1/tracks/3wdfLVUhmX64lIyWIIEW8s,https://api.spotify.com/v1/audio-analysis/3wdfLVUhmX64lIyWIIEW8s,213613,4
First Day Out,0.587,0.711,1,-6.33,1,0.42,0.171,0,0.125,0.381,98.008,audio_features,3muBQDekYAg7jm6hDu6R0Z,spotify:track:3muBQDekYAg7jm6hDu6R0Z,https://api.spotify.com/v1/tracks/3muBQDekYAg7jm6hDu6R0Z,https://api.spotify.com/v1/audio-analysis/3muBQDekYAg7jm6hDu6R0Z,254694,4
Gave 'em Hope,0.729,0.707,10,-4.178,0,0.149,0.0722,0,0.0847,0.523,136.037,audio_features,7coMKvJVNNaYCsFxdk1NM4,spotify:track:7coMKvJVNNaYCsFxdk1NM4,https://api.spotify.com/v1/tracks/7coMKvJVNNaYCsFxdk1NM4,https://api.spotify.com/v1/audio-analysis/7coMKvJVNNaYCsFxdk1NM4,210678,4
HOW BOUT THAT?,0.827,0.819,3,-4.302,0,0.148,0.00525,0,0.184,0.325,145.016,audio_features,7H0NHzIEzCoIENLC2o8Obj,spotify:track:7H0NHzIEzCoIENLC2o8Obj,https://api.spotify.com/v1/tracks/7H0NHzIEzCoIENLC2o8Obj,https://api.spotify.com/v1/audio-analysis/7H0NHzIEzCoIENLC2o8Obj,160644,4
Said N Done,0.775,0.566,11,-6.661,1,0.283,0.0381,0.000341,0.127,0.479,160.351,audio_features,11XegnWeJHBDtj9IsNwngu,spotify:track:11XegnWeJHBDtj9IsNwngu,https://api.spotify.com/v1/tracks/11XegnWeJHBDtj9IsNwngu,https://api.spotify.com/v1/audio-analysis/11XegnWeJHBDtj9IsNwngu,231831,4
Stick to the Models,0.813,0.543,1,-6.555,0,0.211,0.088,7.42e-06,0.112,0.165,137.986,audio_features,0F7FlaQBiyNkV8iakTocsW,spotify:track:0F7FlaQBiyNkV8iakTocsW,https://api.spotify.com/v1/tracks/0F7FlaQBiyNkV8iakTocsW,https://api.spotify.com/v1/audio-analysis/0F7FlaQBiyNkV8iakTocsW,196180,4
Familiar,0.636,0.805,9,-4.594,1,0.327,0.0161,0,0.0793,0.908,92.958,audio_features,0Y4hwUppbGc8aIBmiTz30A,spotify:track:0Y4hwUppbGc8aIBmiTz30A,https://api.spotify.com/v1/tracks/0Y4hwUppbGc8aIBmiTz30A,https://api.spotify.com/v1/audio-analysis/0Y4hwUppbGc8aIBmiTz30A,196552,4
