endTime,artistName,trackName,msPlayed
2020-12-12 20:10,DaBaby,PRACTICE,4620
2020-12-12 20:10,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,6696
2020-12-12 20:10,Jack Harlow,Face Of My City (feat. Lil Baby),5990
2020-12-12 20:10,21 Savage,Runnin,1695
2020-12-12 20:10,Pop Smoke,Hello (feat. A Boogie Wit da Hoodie),190534
2020-12-12 20:19,Lil Eazzyy,Onna Come Up,90581
2020-12-13 02:47,Lil Baby,Errbody,2581
2020-12-13 02:49,Future,Plastic,95082
2020-12-13 03:04,Future,Plastic,43583
2020-12-13 03:06,Travis Scott,SKELETONS,145588
2020-12-13 03:08,Hippie Sabotage,Devil Eyes,131271
2020-12-13 03:11,Ty Dolla $ign,Drugs (feat. Wiz Khalifa),143941
2020-12-13 03:14,CMDWN,The Way She Move (feat. FIJI & Lil Yachty),216104
2020-12-13 03:18,Khalid,Better,229320
2020-12-13 03:23,Beast Coast,"Snow In The Stadium (feat. Erick The Architect, Meechy Darko, Kirk Knight, CJ Fly & Issa Gold)",278386
2020-12-13 03:26,"Tyler, The Creator",EARFQUAKE,190065
2020-12-13 03:29,Travis Scott,HIGHEST IN THE ROOM,175720
2020-12-13 03:32,Tyga,Leather in The Rain (feat. Kyndall),213798
2020-12-13 03:37,Rae Sremmurd,Guatemala - From Swaecation,256341
2020-12-13 03:41,Childish Gambino,Feels Like Summer,297404
2020-12-13 03:44,Lil Nas X,Kick It,141986
2020-12-13 03:47,Ty Dolla $ign,Number,202385
2020-12-13 03:51,BURNS,Energy (with A$AP Rocky & Sabrina Claudio) (feat. Sabrina Claudio) - Sonny Fodera Remix,229468
2020-12-13 03:55,Roy Woods,Drama (feat. Drake),251859
2020-12-13 03:59,Post Malone,Circles,215280
2020-12-13 04:02,Skrillex,Would You Ever,234284
2020-12-13 04:06,Jaden,SOHO,208493
2020-12-13 04:08,Yung Gravy,Boomin,134431
2020-12-13 04:11,Kris Wu,Deserve (feat. Travis Scott),182837
2020-12-13 04:15,21 Savage,all my friends,211785
2020-12-13 04:18,Khalid,8TEEN,228600
2020-12-13 04:22,a$ad,Party In L.a.,237711
2020-12-13 04:26,Lil Uzi Vert,20 Min,220586
2020-12-13 04:28,Wiz Khalifa,"Taylor Life (feat. Sosamann) [Produced by Statik Selektah, Co-Produced by Dreamlife Beats]",155575
2020-12-13 04:33,21 Savage,a lot,288624
2020-12-13 04:36,Travis Scott,YOSEMITE,150043
2020-12-13 04:39,Curren$y,The Count (feat. Wiz Khalifa),194594
2020-12-13 04:42,A$AP Ferg,Let You Go,196000
2020-12-13 04:47,Tyga,Sip A Lil (feat. Gucci Mane),278601
2020-12-13 04:50,RÜFÜS DU SOL,No Place - Short Version,218000
2020-12-13 04:55,Migos,Culture National Anthem - Outro,283114
2020-12-13 04:58,Ty Dolla $ign,South Beach (feat. Quavo & French Montana),196068
2020-12-13 05:03,Yung Gravy,Yung Gravity,256750
2020-12-13 05:06,Lil Baby,Close Friends (Lil Baby & Gunna),203881
2020-12-13 05:08,Famous Dex,CHAMPION (feat. Diplo),120003
2020-12-13 05:11,Mac Miller,That's Life (feat. Mac Miller & Sia),202390
2020-12-13 05:16,Quavo,LOST (feat. Kid Cudi),278759
2020-12-13 05:19,Lil Yachty,Forever Young,177720
2020-12-13 05:22,Phil Adé,No Fear,222273
2020-12-13 05:26,Roddy Ricch,High Fashion (feat. Mustard),220486
2020-12-13 05:28,Jaden,On My Own,102839
2020-12-13 21:36,Tee Grizzley,Light (feat. Lil Yachty),49152
2020-12-13 21:36,DaBaby,INTRO,1397
2020-12-13 21:36,Migos,Dab of Ranch - Recorded at Spotify Studios NYC,1386
2020-12-13 21:38,Travis Scott,Oh My Dis Side (feat. Quavo),107903
2020-12-13 21:40,Lofi Fruits Music,Here Comes the Sun,116259
2020-12-13 21:41,Lofi Fruits Music,Redbone,100794
2020-12-13 21:44,Avocuddle,Beyond The Sea,126054
2020-12-13 21:45,vensterbank,Kingdom Dreams,113437
2020-12-13 21:47,Lofi Fruits Music,Dusk,120000
2020-12-13 21:49,Lofi Fruits Music,Sleepy Night,106500
2020-12-13 21:51,Lofi Fruits Music,Pink + White,98051
